updated	id	summary	description	status	assignee	created	creator	url
2017-12-17T12:18:01.004+0000	REG-59	Can't purchase software with postal order 	No description	Backlog	Not assigned	2017-12-17T12:18:01.004+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10058
2017-12-17T12:17:29.047+0000	REG-58	Kitchen run out of haloumi	No description	Backlog	Not assigned	2017-12-17T12:17:29.047+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10057
2017-12-17T12:17:02.930+0000	REG-57	Cloud cover	No description	Backlog	Not assigned	2017-12-17T12:17:02.930+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10056
2017-12-17T12:16:51.692+0000	REG-56	Server room on fire	No description	Backlog	Not assigned	2017-12-17T12:16:51.692+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10055
2017-12-17T12:16:39.479+0000	REG-55	Manager is drunk	No description	Backlog	Not assigned	2017-12-17T12:16:39.479+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10054
2017-12-17T12:16:30.569+0000	REG-54	We've run out of tea	No description	Backlog	Not assigned	2017-12-17T12:16:30.569+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10053
2017-12-17T12:16:10.880+0000	REG-53	First tyre	No description	Backlog	Not assigned	2017-12-17T12:16:10.880+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10052
2017-12-17T12:16:03.440+0000	REG-52	Lack of ice cream in cafeteria	No description	Backlog	Not assigned	2017-12-17T12:16:03.440+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10051
2017-12-17T12:15:41.454+0000	REG-51	Breaks the internet	No description	Backlog	Not assigned	2017-12-17T12:15:41.454+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10050
2017-12-17T12:15:17.706+0000	REG-50	Time zone correction	No description	Backlog	Not assigned	2017-12-17T12:15:17.706+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10049
2017-12-17T12:15:08.331+0000	REG-49	Comments in swahili	No description	Backlog	Not assigned	2017-12-17T12:15:08.331+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10048
